Category,Sub-category,Formula,On formula sheet
Indices,Multiplying terms with same base,$$a^m\times a^n=a^{m+n}$$,FALSE
Indices,Dividing terms with same base,$$a^m \div a^n = \dfrac{a^m}{a^n} = a^{m-n}$$,FALSE
